Unnamed: 0,FirstName,LastName,StartDate,ExitDate,PositionTitle,Supervisor,ADEmail,Faculty,EmployeeStatus,EmployeeType,TerminationType,DOB,JobFunction,GenderCode,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,StaffType,EmploymentDuration_months,TerminationYear,TerminationMonth,TerminationYearMonth,TenureGroup,EmploymentStatus,StatusValidated,TerminationCategory,VoluntaryTermination,InvoluntaryTermination,ActiveStaff,RetirementCategory,TerminatedStaff,RetainedOver2Years,Total_Survey_Score,PerformanceGroup,EngagementGroup,SatisfactionGroup,Work-Life_BalanceGroup,Total_Survey_Group,Age,JobFunction_LE,PositionTitle_LE,TenureGroup_,Predicted_Terminated,Probability_Terminated
29,Adalyn,Bass,2022-11-25,,Research Assistant (Academic),Christopher Wallace,adalyn.bass@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1999-03-14,Research Assistant (Academic),Female,3,2091,2023-02-21,3,1,1,Academic,30.133333333333333,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,1.6666666666666667,Medium,Medium,Low,Low,Low,26,65,24,2,0,0.078415774
30,Adalyn,Hess,2023-01-05,2023-01-14,Assistant Lecturer,Kimberly Moore,adalyn.hess@bilearner.com,Faculty of Medicine,Terminated for Cause,Part-Time,Resignation,1985-09-06,Assistant Lecturer,Female,5,2507,2023-07-31,2,3,4,Academic,0.3,2023.0,1.0,2023-01,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.0,High,Low,Medium,High,Medium,39,8,5,1,1,0.9978364
31,Adalyn,Vaughan,2019-03-13,2020-09-12,Senior Technical Officer,Nathan Hill,adalyn.vaughan@bilearner.com,Faculty of Arts,Voluntarily Terminated,Full-Time,Involuntary,1985-01-27,RTS-Senior Technical Officer,Female,3,1296,2023-02-07,1,1,5,Professional,18.3,2020.0,9.0,2020-09,1-3yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,2.333333333333333,Medium,Low,Low,High,Low,40,62,41,2,1,0.9993747
32,Adam,Beltran,2023-05-26,2023-07-14,Manager,Mackenzie Cole,adam.beltran@bilearner.com,Faculty of Medicine,Active,Full-Time,Involuntary,1980-12-15,RTS-Manager,Male,4,2694,2022-12-29,3,4,4,Professional,1.6333333333333333,2023.0,7.0,2023-07,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.6666666666666665,High,Medium,High,High,Medium,44,50,18,1,1,0.99910814
33,Adam,Ingram,2020-04-07,,Coordinator,Donna Sullivan,adam.ingram@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1969-05-17,Student Services-Coordinator,Male,2,2798,2023-05-29,3,4,2,Professional,62.2,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.0,Low,Medium,High,Low,Medium,56,73,8,4,0,0.008573046
34,Adam,Meza,2023-03-12,,Senior Lecturer,Joshua Peters,adam.meza@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1969-01-09,Senior Lecturer,Female,5,3075,2023-07-20,5,3,1,Academic,26.566666666666663,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,3.0,High,High,Medium,Low,Medium,56,67,32,2,0,0.10950535
35,Addisyn,Aguilar,2019-01-25,2021-10-26,Head of Department,April Stevens,addisyn.aguilar@bilearner.com,Faculty of Medicine,Active,Full-Time,Involuntary,1976-02-05,Head of Department,Female,5,3704,2023-07-07,2,4,5,Academic,33.5,2021.0,10.0,2021-10,1-3yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.6666666666666665,High,Low,High,High,Medium,49,27,14,2,1,0.9543103
36,Addisyn,Guerrero,2020-08-31,2022-06-26,Senior Lecturer,Cory Lee,addisyn.guerrero@bilearner.com,Faculty of Medicine,Active,Part-Time,Resignation,1951-02-15,Senior Lecturer,Female,4,3703,2023-06-02,5,5,5,Academic,22.133333333333333,2022.0,6.0,2022-06,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,5.0,High,High,High,High,High,74,67,32,2,1,0.8424568
37,Addyson,Pollard,2021-08-11,2021-11-07,Research Fellow,Andrew Bass,addyson.pollard@bilearner.com,Faculty of Engineering,Active,Contract,Resignation,1995-08-16,Research Fellow,Male,1,2891,2023-05-27,5,2,3,Academic,2.933333333333333,2021.0,11.0,2021-11,<1yr,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.333333333333333,Low,High,Low,Medium,Medium,29,66,25,1,1,0.9999832
38,Adeel,Osturnka,2022-10-21,2023-05-09,Technical Officer,Laura Rodriguez,adeel.osturnka@bilearner.com,Faculty of Arts,Active,Part-Time,Involuntary,1976-05-28,RTS-Technical Officer,Male,4,2752,2023-05-07,3,5,1,Professional,6.666666666666667,2023.0,5.0,2023-05,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.0,High,Medium,High,Low,Medium,49,64,44,1,1,0.9980703
39,Adelaide,Herman,2022-02-08,,Senior Research Fellow,Mark Moore,adelaide.herman@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1970-12-29,Senior Research Fellow,Female,3,2174,2022-12-25,1,1,5,Academic,39.8,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,2.333333333333333,Medium,Low,Low,High,Low,54,68,35,3,0,0.059982833
40,Adelaide,Meyer,2020-07-01,2022-10-31,Senior Research Fellow,Jessica Morales,adelaide.meyer@bilearner.com,Faculty of Engineering,Future Start,Contract,Involuntary,1994-01-25,Senior Research Fellow,Female,1,2143,2022-12-14,2,1,1,Academic,28.4,2022.0,10.0,2022-10,1-3yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,1.3333333333333333,Low,Low,Low,Low,Low,31,68,35,2,1,0.8650221
41,Adell,Saada,2019-06-13,2023-01-12,Animal Technician,Steven Tran,adell.saada@bilearner.com,Faculty of Medicine,Active,Part-Time,Retirement,1987-03-01,RTS-Animal Technician,Female,3,1009,2023-06-06,2,5,1,Professional,43.63333333333333,2023.0,1.0,2023-01,3-5yrs,Terminated,Terminated,Retirement,0,0,0,1,1,0,2.6666666666666665,Medium,Low,High,Low,Low,38,48,4,3,1,0.9010804
42,Aden,George,2022-11-07,2023-04-06,Research Fellow,Tyler Sexton,aden.george@bilearner.com,Faculty of Engineering,Active,Full-Time,Involuntary,1988-05-22,Research Fellow,Female,3,2160,2023-01-20,1,1,5,Academic,5.0,2023.0,4.0,2023-04,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,2.333333333333333,Medium,Low,Low,High,Low,37,66,25,1,1,0.99967635
43,Adil,Sahoo,2020-12-06,2022-08-26,Senior Lecturer,Alexis Shaw,adil.sahoo@bilearner.com,Faculty of Medicine,Active,Part-Time,Voluntary,1969-07-20,Senior Lecturer,Male,2,2760,2022-09-26,2,1,4,Academic,20.933333333333334,2022.0,8.0,2022-08,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,Low,Low,Low,High,Low,55,67,32,2,1,0.99950325
44,Adison,Huerta,2020-01-22,,Lecturer,Jeffrey Duran,adison.huerta@bilearner.com,Faculty of Engineering,Active,Contract,Unk,1985-11-14,Lecturer,Female,2,2565,2022-08-17,2,5,4,Academic,64.73333333333333,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.6666666666666665,Low,Low,High,High,Medium,39,37,16,4,0,0.00065477495
45,Adison,Ray,2020-09-21,2023-03-22,Lecturer,Carly Rogers,adison.ray@bilearner.com,Faculty of Engineering,Active,Full-Time,Retirement,1959-06-14,Lecturer,Male,1,2955,2023-06-12,5,2,3,Academic,30.4,2023.0,3.0,2023-03,1-3yrs,Terminated,Terminated,Retirement,0,0,0,1,1,0,3.333333333333333,Low,High,Low,Medium,Medium,65,37,16,2,1,0.9831441
46,Adrian,Murray,2019-01-05,,Manager,Jose Gomez,adrian.murray@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1942-11-07,MC-Manager,Female,3,1910,2022-11-05,1,4,1,Professional,77.46666666666667,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,2.0,Medium,Low,High,Low,Low,82,41,18,4,0,0.0018912597
47,Adriana,Weber,2020-05-16,2022-05-18,Research Fellow,Jacqueline Jackson,adriana.weber@bilearner.com,Faculty of Medicine,Active,Full-Time,Resignation,1947-09-18,Research Fellow,Female,3,1990,2022-08-31,3,1,1,Academic,24.4,2022.0,5.0,2022-05,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,1.6666666666666667,Medium,Medium,Low,Low,Low,77,66,25,2,1,0.9331676
48,Adrianna,Johnston,2019-05-27,2022-08-18,Lecturer,Melissa Bennett,adrianna.johnston@bilearner.com,Faculty of Engineering,Voluntarily Terminated,Full-Time,Involuntary,1946-06-03,Lecturer,Male,2,3228,2022-11-13,3,5,3,Academic,39.3,2022.0,8.0,2022-08,3-5yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.6666666666666665,Low,Medium,High,Medium,Medium,79,37,16,3,1,0.82603985
49,Adriel,Wiggins,2022-01-20,,Research Officer,Sara Edwards,adriel.wiggins@bilearner.com,Faculty of Medicine,Active,Contract,Unk,1947-03-25,RTS-Research Officer,Female,2,3547,2022-12-24,2,4,2,Professional,40.43333333333333,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,2.6666666666666665,Low,Low,High,Low,Low,78,54,26,3,1,0.7539228
50,Adrien,Krause,2019-12-09,,Research Fellow,Julie Larson,adrien.krause@bilearner.com,Faculty of Engineering,Active,Full-Time,Unk,1963-02-14,Research Fellow,Female,2,2943,2022-10-18,4,1,5,Academic,66.2,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Low,High,Low,High,Medium,62,66,25,4,0,0.00055424345
51,Adrien,Maddox,2018-08-22,2021-11-10,Senior Research Officer,Tamara Humphrey,adrien.maddox@bilearner.com,Faculty of Engineering,Voluntarily Terminated,Contract,Involuntary,1983-04-12,RTS-Senior Research Officer,Female,4,2197,2023-04-15,2,3,1,Professional,39.2,2021.0,11.0,2021-11,3-5yrs,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,2.0,High,Low,Medium,Low,Low,42,60,36,3,0,0.18346858
52,Adrien,Olsen,2019-08-17,,Senior Officer,Jasmine Smith,adrien.olsen@bilearner.com,Faculty of Arts,Active,Contract,Unk,2000-03-23,RTS-Senior Officer,Male,3,3868,2022-09-16,3,1,2,Professional,70.0,Active,Active,,5-10yrs,Active,Active,Active,0,0,1,0,0,1,2.0,Medium,Medium,Low,Low,Low,25,59,34,4,0,0.00013050098
53,Adrienne J,Homberger,2019-04-19,2021-10-26,Senior Lecturer,Brandon Miller,adrienne j.homberger@bilearner.com,Faculty of Arts,Voluntarily Terminated,Full-Time,Voluntary,1974-11-23,Senior Lecturer,Female,1,3570,2023-01-02,2,5,3,Academic,30.7,2021.0,10.0,2021-10,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.333333333333333,Low,Low,High,Medium,Medium,50,67,32,2,1,0.8389817
54,Adyson,Esparza,2021-04-25,,Senior Lecturer,Michael Austin,adyson.esparza@bilearner.com,Faculty of Engineering,Active,Contract,Unk,2001-04-05,Senior Lecturer,Female,3,2004,2023-05-05,3,3,4,Academic,49.43333333333333,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,Medium,Medium,Medium,High,Medium,24,67,32,3,0,0.03509462
55,Adyson,Strickland,2020-12-28,,Senior Lecturer,Caroline Harris,adyson.strickland@bilearner.com,Faculty of Engineering,Active,Part-Time,Unk,2001-06-10,Senior Lecturer,Male,3,3423,2022-09-19,4,5,3,Academic,53.36666666666667,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,4.0,Medium,High,High,Medium,High,23,67,32,3,0,0.048615135
56,Ahmed,Hawkins,2020-05-01,2021-02-25,Professor,Hannah Snyder,ahmed.hawkins@bilearner.com,Faculty of Engineering,Active,Full-Time,Retirement,1974-10-15,Professor,Male,1,3527,2023-02-27,1,3,2,Academic,10.0,2021.0,2.0,2021-02,<1yr,Terminated,Terminated,Retirement,0,0,0,1,1,0,2.0,Low,Low,Medium,Low,Low,50,45,20,1,1,0.99992824
57,Ahmed,Lindsey,2021-02-02,2022-05-13,Senior Research Officer,John Taylor,ahmed.lindsey@bilearner.com,Faculty of Medicine,Leave of Absence,Contract,Resignation,1962-08-22,RTS-Senior Research Officer,Female,3,3347,2023-05-06,4,2,1,Professional,15.5,2022.0,5.0,2022-05,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,Medium,High,Low,Low,Low,62,60,36,2,1,0.9933262
58,Ahmed,Mcmahon,2022-11-21,,Research Officer,Brian Ortiz MD,ahmed.mcmahon@bilearner.com,Faculty of Medicine,Active,Contract,Unk,2000-05-30,RTS-Research Officer,Male,1,2371,2023-01-10,2,1,5,Professional,30.266666666666666,Active,Active,,1-3yrs,Active,Active,Active,0,0,1,0,0,1,2.6666666666666665,Low,Low,Low,High,Low,24,54,26,2,1,0.9227881
59,Ahmed,Montgomery,2022-10-04,2023-03-05,Senior Technical Officer,Daniel Guerra,ahmed.montgomery@bilearner.com,Faculty of Engineering,Active,Contract,Involuntary,1984-12-06,RTS-Senior Technical Officer,Male,3,1886,2023-01-18,3,2,5,Professional,5.066666666666666,2023.0,3.0,2023-03,<1yr,Terminated,Terminated,Involuntary Departure,0,1,0,0,1,0,3.333333333333333,Medium,Medium,Low,High,Medium,40,62,41,1,1,0.99967587
60,Aidan,Harding,2021-07-13,,Research Fellow,Trevor Adkins,aidan.harding@bilearner.com,Faculty of Medicine,Active,Full-Time,Unk,1942-05-26,Research Fellow,Male,5,3508,2023-04-17,1,5,4,Academic,46.8,Active,Active,,3-5yrs,Active,Active,Active,0,0,1,0,0,1,3.333333333333333,High,Low,High,High,Medium,83,66,25,3,0,0.0009730857
61,Aiden,Wade,2021-07-29,2022-08-12,Officer,Amber Johnson,aiden.wade@bilearner.com,Faculty of Medicine,Active,Contract,Resignation,1951-10-22,RTS-Officer,Female,4,2214,2023-02-26,1,1,5,Professional,12.633333333333333,2022.0,8.0,2022-08,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,2.333333333333333,High,Low,Low,High,Low,73,51,19,2,1,0.9998246
62,Aidyn,Cuevas,2022-03-04,2023-07-02,Manager,Melissa Young,aidyn.cuevas@bilearner.com,Faculty of Engineering,Active,Full-Time,Voluntary,1963-06-10,Student Services-Manager,Female,4,2897,2023-04-04,3,5,2,Professional,16.166666666666668,2023.0,7.0,2023-07,1-3yrs,Terminated,Terminated,Voluntary Departure,1,0,0,0,1,0,3.333333333333333,High,Medium,High,Low,Medium,61,74,18,2,1,0.9995426
